#,名称,相关网页,地理位置,来源,存在虐待,相关证据,估计规模,已审核
1,昭山素质教育,https://www.lzszjyxx.com/,湖南湘潭市岳塘区高峰村坳上组青少年素质教育学校,ASaferChina (channel)@Telegram,TRUE,https://web.archive.org/web/20231111060020/https://www.msn.com/en-au/news/other/inside-china-s-lgbtqia-re-education-camps-survivors-claim-shock-treatment-and-beatings/ar-AA18xfV9,UNKNOWN,FALSE
2,贤德素质教育学校,http://www.aishangzs.com/ || http://texunschool.com/ || http://www.ahedu.net.cn/,湖南省长沙市,ASaferChina (channel)@Telegram,TRUE,https://web.archive.org/web/20231111060020/https://www.msn.com/en-au/news/other/inside-china-s-lgbtqia-re-education-camps-survivors-claim-shock-treatment-and-beatings/ar-AA18xfV9,UNKNOWN,FALSE
3,北海市愉达复教育咨询有限公司,http://www.ydf-edu.com/,广西北海市银海区银滩风景区,ASaferChina (channel)@Telegram,UNKNOWN,NONE,UNKNOWN,FALSE
4,重庆锦辉青少年素质教育学校,http://www.cqtx110.com/,重庆市沙坪坝区中梁镇后槽路西50米,ASaferChina (channel)@Telegram,UNKNOWN,NONE,UNKNOWN,FALSE
5,长沙湘越中学,https://www.xiangyuezhongxue.com/,湖南省长沙市长沙县春华镇春华山村88号,ASaferChina (channel)@Telegram || CTSN,UNKNOWN,NONE,300,FALSE
6,河源弘毅素质教育创新研究基地,http://www.ttxsjyjd.com/,广东省河源市紫金县义容镇西平村石下小学侧边办公楼,ASaferChina (channel)@Telegram,UNKNOWN,NONE,UNKNOWN,FALSE
7,山东正心教育培训学校有限公司,http://www.zhengxinedu.com/,山东省潍坊市峡山区岞山街道岞山第二小学北邻,ASaferChina (channel)@Telegram || 寒涟漪创建的扭转机构名单,TRUE,https://web.archive.org/web/20231111060020/https://www.msn.com/en-au/news/other/inside-china-s-lgbtqia-re-education-camps-survivors-claim-shock-treatment-and-beatings/ar-AA18xfV9,200,FALSE
8,睿智教育专门学校,http://www.999jwy.com/,湖南省长沙市望城区高塘岭街道新阳村,ASaferChina (channel)@Telegram || CTSN,UNKNOWN,NONE,200,FALSE
9,徐州励志少年军校 || 徐州西正教育 || 徐州塑仁教育,https://weibo.com/u/5294085683/,UNKNOWN,ASaferChina (channel)@Telegram,UNKNOWN,NONE,UNKNOWN,FALSE
10,雅圣思,(无法正常访问)http://www.yashengsi.com/,UNKNOWN,ASaferChina (channel)@Telegram,TRUE,https://www.voachinese.com/a/china-private-schools-accused-of-abusing-students-20230130/6939487.html,UNKNOWN,FALSE
11,少林文武教育,http://www.shaolinxiao.com/,湖南娄底市水洞底镇中心村(距市政府8公里),百度搜索,UNKNOWN,NONE,UNKNOWN,FALSE
